Número de persona,Generó con el cuál se identifica,Edad,Ciudad de nacimiento,Departamento o país de nacimiento,Ciudades que ha vivido,Departamento o país ciudades que ha vivido,Ciudad de origen de su Padre,Departamento o país origen de su Padre,Ciudad es originaria de su madre,Departamento o país originaria de su madre,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,¿ Cuál es la zona corporal más representativa de la belleza femenina?,¿ Cuál es la zona corporal más representativa de la belleza femenina?
1,Hombre,66,Sotaquira,Boyacá,Ibagué,Tolima,Sotaquira,Boyacá,Tuta,Boyacá,,,,,,,,,,4,5,5,5,5,5,4,4,Cirugías estéticas,,Cadera cara busto
1,Hombre,49,Valledupar,Cesar,Bogotá,Cundinamarca,Valledupar,Cauca,Valledupar,Cesar,,,,,,,,,,5,4,5,3,3,5,5,5,Salones de belleza,,La flacidez
1,Hombre,49,Valledupar,Cesar,Valledupar,Cesar,Valledupar,Cauca,Valledupar,Cesar,,,,,,,,,,5,4,5,3,3,5,5,5,Salones de belleza,,Glúteos
1,Hombre,46,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Sogamoso,Boyacá,Ventaquemada,Boyacá,,,,,,,,,,3,2,2,4,4,3,4,4,Toallas sanitarias,,La cara
1,Hombre,46,Bogotá,Cundinamarca,Madrid,Cundinamarca,Sogamoso,Boyacá,Ventaquemada,Boyacá,,,,,,,,,,3,2,2,4,4,3,4,4,Educación,,La cara
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Chaparral,Tolima,Armero,Tolima,2,2,3,3,2,3,3,3,,,,,,,,,,,Los senos,
1,Mujer,18,Bogotá,Cundinamarca,Ibagué,Tolima,Chaparral,Tolima,Armero,Tolima,2,2,3,3,2,3,3,3,,,,,,,,,,,Los senos,
1,Mujer,51,Bogotá,Cundinamarca,Barranquilla,Atlantico,Santa Marta,Magdalena,Barranquilla,Atlantico,4,4,5,4,3,4,4,3,,,,,,,,,,,Rostro,
1,Mujer,51,Bogotá,Cundinamarca,Caracas,Venezuela,Santa Marta,Magdalena,Barranquilla,Atlantico,4,4,5,4,3,4,4,3,,,,,,,,,,,Rostro,
1,Mujer,51,Bogotá,Cundinamarca,Santa Marta,Magdalena,Santa Marta,Magdalena,Barranquilla,Atlantico,4,4,5,4,3,4,4,3,,,,,,,,,,,Rostro,
1,Mujer,17,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Barranquilla,Atlantico,2,3,3,3,4,3,3,3,,,,,,,,,,,Su rostro,
1,Mujer,17,Bogotá,Cundinamarca,Santa Marta,Magdalena,Bogotá,Cundinamarca,Barranquilla,Atlantico,2,3,3,3,4,3,3,3,,,,,,,,,,,Su rostro,
1,Mujer,18,Barranquilla,Atlantico,Barranquilla,Atlantico,Cartagena,Bolívar,Barranquilla,Atlantico,4,4,5,5,3,4,4,5,,,,,,,,,,,Genitales,
1,Mujer,18,Barranquilla,Atlantico,Bogotá,Cundinamarca,Cartagena,Bolívar,Barranquilla,Atlantico,4,4,5,5,3,4,4,5,,,,,,,,,,,Genitales,
1,Mujer,18,Barranquilla,Atlantico,Mushaisa,Guajira,Cartagena,Bolívar,Barranquilla,Atlantico,4,4,5,5,3,4,4,5,,,,,,,,,,,Genitales,
1,Mujer,57,Paipa,Boyacá,Bogotá,Cundinamarca,Paipa,Boyacá,Bituima,Boyacá,5,4,5,5,3,5,5,5,,,,,,,,,,,Todo el cuerpo,
1,Mujer,63,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,4,4,4,4,4,4,,,,,,,,,,,El cuerpo,
1,Mujer,64,Bucaramanga,Santander,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,3,3,3,3,3,3,4,Alimentos sanos,,,,,,,,,,Cintura,
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,2,5,4,4,3,5,5,,,,,,,,,,,El rostro,
1,Mujer,14,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Chiquinquira,Boyacá,Bogotá,Cundinamarca,3,2,4,5,3,5,4,3,,,,,,,,,,,La cara,
1,Mujer,35,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Guacheta,Cundinamarca,Bogotá,Cundinamarca,4,3,5,3,2,3,5,5,Maquillaje,,,,,,,,,,cara,
1,Mujer,24,Bogotá,Cundinamarca,Acacias,Meta,Pensilvania,Estados Unidos,Bogotá,Cundinamarca,5,4,4,5,5,5,4,5,,,,,,,,,,,las caderas,
1,Mujer,24,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pensilvania,Estados Unidos,Bogotá,Cundinamarca,5,4,4,5,5,5,4,5,,,,,,,,,,,las caderas,
1,Mujer,17,Cali,Valle del cauca,Bogotá,Cundinamarca,San martin,Cesar,Bogotá,Cundinamarca,4,3,4,4,4,3,4,1,,,,,,,,,,,Busto,
1,Mujer,65,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,4,4,4,4,4,4,,,,,,,,,,,El cuerpo,
1,Mujer,16,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,1,3,3,4,3,4,4,,,,,,,,,,,Busto,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,3,5,4,4,3,4,,,,,,,,,,,El rostro,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,3,5,4,4,4,4,4,Pienso que los accesorios de los celulares y bolsos,,,,,,,,,,"El rostro, el cabello y las manos",
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,3,5,2,5,2,5,5,,,,,,,,,,,La cintura,
1,Mujer,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,2,3,5,4,4,3,5,,,,,,,,,,,Los labios,
1,Mujer,30,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,1,1,2,2,2,5,1,,,,,,,,,,,Todo.su ser,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,1,1,3,3,5,5,4,,,,,,,,,,,Todo,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,5,4,5,3,4,3,4,,,,,,,,,,,Las caderas,
1,Mujer,24,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,4,5,3,5,3,3,,,,,,,,,,,La cara,
1,Mujer,17,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,2,5,3,3,3,4,3,,,,,,,,,,,Cabello,
1,Mujer,45,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,1,3,4,3,4,3,4,5,,,,,,,,,,,el cabeza,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,5,5,5,4,5,3,3,,,,,,,,,,,La cintura,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,1,5,5,3,3,1,5,Cirugías plásticas,,,,,,,,,,Cintura?,
1,Mujer,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cúcuta,Norte de Santander,Bogotá,Cundinamarca,3,5,5,5,5,5,5,3,Cirugías plásticas,,,,,,,,,,siento que lo que más ve la gente son los glúteos en las mujeres,
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cúcuta,Norte de Santander,Bogotá,Cundinamarca,5,1,5,3,3,5,3,3,Cirugías plásticas,,,,,,,,,,Las caderas,
1,Mujer,25,Ibagué,Tolima,Bogotá,Cundinamarca,Ibagué,Tolima,Bogotá,Cundinamarca,3,3,3,3,1,3,3,3,Cirugías plásticas,,,,,,,,,,El rostro,
1,Mujer,38,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tenjo,Cundinamarca,Bogotá,Cundinamarca,4,3,3,5,5,3,4,4,Cirugías plásticas,,,,,,,,,,Rostro,
1,Mujer,13,Neiva,Huila,Bogotá,Cundinamarca,Timana,Huila,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,Cirugías plásticas,,,,,,,,,,La sonrisa,
1,Mujer,13,Neiva,Huila,Neiva,Huila,Timana,Huila,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,Cirugías plásticas,,,,,,,,,,La sonrisa,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,3,1,2,2,4,5,3,Cirugías plásticas,,,,,,,,,,El busto,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,4,4,3,4,4,2,Cirugías plásticas,,,,,,,,,,Las tetas 🙄,
1,Mujer,25,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,4,5,4,3,5,5,4,Cirugías plásticas,,,,,,,,,,Labios,
1,Mujer,20,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Armenia,Quindio,Bogotá,Cundinamarca,3,4,5,5,5,4,4,4,,,,,,,,,,,"Caderas, cola, busto",
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,4,5,5,4,4,5,,,,,,,,,,,piernas,
