 ,,INFLUENCERS,,CIUDAD / PAÍS,,DÍA,HORARIO DE PUBLICACIÓN,,TIPO DE PUBLICACIÓN,,,,MONETIZACIÓN,,,NÚMERO DE REACCIONES,,,PERSONAS EXPUESTAS (ROL),,,,,,,,,,PLANO PARA TOMAR FOTO/VIDEO,ELEMENTOS TECNOLÓGICOS,DESCRIPCIÓN
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,X,,,,X,,,,,,,X,X,,,,,,,,Plano completo,"Vestido, traje y alfombra",Dos fotos en comparacion de @iamerica_mena y @safaree) vs ella (@kimkardashian) y su esposo @kanyewest en él mismo evento unos años atrás con la misma pose y estado de embarazo
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,12:00 P.M.,3:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano completo,Indumentaria negra y una cama con cojines marrón grisáceo satinado,Foto de ella cargando a un cachorro frente a su rostro y un texto acompañando fuera de la imagen que dice¨Essential @skimd Cotton Collection pieces are still available at SKIMS.COM. Shop now at SKIMS.Command receive free shipping on domestic orders over $75
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,2:00 P.M.,5:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Captura del la tienda virtual de su marido shopkanyewest.com y él  sencillo ¨Jessus is King¨ cassette + digital download 05:33:30
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,2:00 P.M.,5:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Captura del cassette de ¨Jessus is King¨ de Kanye West y un texto que dice ¨I am obsessed with a cassette¡¡ Swipe Up¡¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,6:00 P.M.,9:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,Indumentaria,Video en que dice él foodtruck en que va a comprar los postres para halloween que va a comprar
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,6:00 P.M.,9:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video que muestra la mesa de postres de la fiesta de halloween de Kourtney
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 P.M.,10:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano completo,"Vestidos, pelucas, diademas, botas, tenis, maquillaje, joyería, accesorios (alas)","Foto de tres niñas vestidas de ángeles y demonio, yendo a una casa del terror"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",Armenia Hayastani Hanrapetut'yun,Jueves,7:00 P.M.,10:00 P.M.,,,X,,X,,,4.782.054M,,28.742K,,,,,,X,X,,,,Plano completo,Ropa maquillaje  y joyeria ,Sister Act in Armenia
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 P.M.,10:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano completo,"Vestidos, pelucas, diademas, botas, tenis, maquillaje, joyería, accesorios (alas)","Foto de tres niñas vestidas de ángeles y demonio, yendo a una casa del terror"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 P.M.,10:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano a detalle,Disfraz estilo sirena con pedrería y apéndices,Video muestra detalle la parte inferior de su disfraz 
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 P.M.,10:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano a completo,Disfraz estilo sirena con pedrería y apéndices,Video muestra como va de salida a una fiesta de disfraces
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,9:00 A.M.,12:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,Plano completo,,Foto de un muñeco de la mascota de los picapiedras 3 metros
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,9:00 A.M.,12:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,Plano Primer primerísimo,,Foto de un muñeco de la mascota de los picapiedras 
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,9:00 A.M.,12:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano completo,,"Foto de la hija de Kim Kardashian vestida de la mascota de los picapiedras, con un texto de acompañamiento que dice ¨North trying on de Dino costume¨"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,9:00 A.M.,12:00 P.M.,,X,,,X,,,,,,,,,,,X,,,X,,Plano completo,,"Foto de la hija de Kim Kardashian vestida de la mascota de los picapiedras, mientras ella dice ¿a donde va y quien es?"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,10:00 A.M.,1:00 P.M.,X,,,,,X,,,,,,,,,,X,,,X,,Plano medio sin rostro,Ropa interior blanca,Foto del cuerpo de una mujer en ropa interior con un texto que dice ¨The @skims Cotton Triangle Bralette ($50) in Bone -available now in selected sizes in all colors at SKIMS.COM. Shop the Cotton Collection now and receive free shipping on domestic order over $75¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,10:00 A.M.,1:00 P.M.,,X,,,X,,,,,,,,,,,X,,X,,,Plano medio corto,"Cámaras, reflectores, luces e indumentaria negra","Video de dos estilistas (@makeupbymario y @chrisappletonl) los cuales discuten en como arreglar a Kim, esto acompañado de un texto que dice ¨Omg these two fight all the time¡¡¡"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,10:00 A.M.,1:00 P.M.,,X,,,X,,,,,,,,,,,X,,X,,,Plano medio corto,"Cámaras, reflectores, luces e indumentaria negra","Video de los dos estilistas se abrazan, con un texto que dice ¨Don't worry they never say mad for long. they both rolled their eyes at the end"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,1:00 P.M.,4:00 P.M.,X,,,,,X,,,,,,,,,,X,,,X,,Plano primer,"Peluca, maquillaje (sombras, labial y lapiz)","Foto de captura de @ash_kholm donde se puesta a KHloe Kardashian con una peluca blanca con manchas negras, a su vez se encuentran los productos que uso para su maquillaje y una frase que dice ¨@kkwbeauty 90´s collection"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,2:00 P.M.,5:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,,Video boomerang de un delivery que le llegó (@chanteburkett) con un texto que dice¨Delivery from @kkwbeauty
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,2:00 P.M.,5:00 P.M.,X,,,,X,,,5.317.5114M,,29.026K,,,,,,X,,,X,,Plano medio,"Piercing, tatuajes, esqueleto blanco y base corporal",Video de @chanteburket leyendo la descripción y color de la base corporal que le llegó
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,2:00 P.M.,5:00 P.M.,,,X,,X,,,5.317.5114M,,29.026K,,X,,,X,,,,,,Plano medio,Bikini e inflable en piscina,Legally Blonde
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,2:00 P.M.,5:00 P.M.,,,X,,X,,,5.317.5114M,,29.026K,,X,,,X,,,,,,Plano medio,Bikini e inflable en piscina,Legally Blonde
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,2:00 P.M.,5:00 P.M.,,,X,,X,,,5.317.5114M,,29.026K,,X,,,X,,,,,,plano completo,Bikini y toalla ,Legally Blonde
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,2:00 P.M.,5:00 P.M.,,,X,,X,,,5.317.5114M,,29.026K,,X,,,X,,,,,,plano completo,Bikini y sofá,Legally Blonde
